$,$,カード種別,カード名,
禁止,効果/モンスター,Amazoness Archer,
禁止,効果/モンスター,Cannon Soldier,
禁止,効果/モンスター,Cyber Jar,
禁止,効果/モンスター,Fiber Jar,
禁止,効果/モンスター,Magical Scientist,
禁止,魔法,Butterfly Dagger - Elma,
禁止,魔法,Card of Safe Return,
禁止,魔法,Cold Wave,
禁止,魔法,Confiscation,
禁止,魔法,Delinquent Duo,
禁止,魔法,Dimension Fusion,
禁止,魔法,Giant Trunade,
禁止,魔法,Heavy Storm,
禁止,魔法,Last Will,
禁止,魔法,Mass Driver,
禁止,魔法,Metamorphosis,
禁止,魔法,Mirage of Nightmare,
禁止,魔法,Painful Choice,
禁止,魔法,Pot of Greed,
禁止,魔法,Premature Burial,
禁止,魔法,Smoke Grenade of the Thief,
禁止,魔法,Snatch Steal,
禁止,魔法,The Forceful Sentry,
禁止,罠,Imperial Order,
禁止,罠,Last Turn,
禁止,罠,Life Equalizer,
禁止,罠,Magical Explosion,
禁止,罠,Royal Oppression,
禁止,罠,Trap Dustshoot,
禁止,罠,Ultimate Offering,
,,,
制限,効果/モンスター,Diabellstar the Black Witch,新規
制限,効果/モンスター,Snake-Eye Ash,新規
制限,効果/モンスター,Snake-Eyes Poplar,新規
制限,効果/モンスター,Tenpai Dragon Chundra,新規
制限,魔法,Crossout Designator,新規
制限,魔法,Foolish Burial,新規
制限,魔法,Harpie's Feather Duster,新規
制限,魔法,Monster Reborn,新規
制限,魔法,Kaiser Colosseum,新規
制限,魔法,Reinforcement of the Army,新規
制限,魔法,Runick Fountain,新規
制限,魔法,Sangen Summoning,新規
制限,魔法,Terraforming,新規
制限,魔法,WANTED: Seeker of Sinful Spoils,新規
制限,罠,Skill Drain,新規
制限,罠,Summon Limit,新規
,,,
準制限,魔法,Bonfire,新規
準制限,魔法,Called by the Grave,新規
準制限,魔法,One for One,新規
準制限,魔法,Pot of Desires,新規
準制限,魔法,Pot of Extravagance,新規
準制限,魔法,Pot of Prosperity,新規
準制限,魔法,Purrely Sleepy Memory,新規
準制限,罠,Red Reboot,新規
